order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,cost_price,list_price,quantity,discount_percent,year,month,day,sell_price,revenue,cost,profit,discount
46,2022-05-27,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,20,20,2,0.0985,2022,5,27,18.03,36.06,40,-3.9399999999999977,3.5519100000000003
47,2023-02-03,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,180,210,4,0.0788,2023,2,3,193.452,773.808,720,53.80799999999999,60.9760704
48,2022-02-16,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,50,50,3,0.0985,2022,2,16,45.074999999999996,135.225,150,-14.775000000000006,13.3196625
49,2022-05-06,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,20,20,2,0.0788,2022,5,6,18.424,36.848,40,-3.152000000000001,2.9036223999999997
50,2023-06-18,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,30,40,6,0.0788,2023,6,18,36.848,221.088,180,41.087999999999994,17.4217344
51,2022-01-11,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,70,80,6,0.0788,2022,1,11,73.696,442.176,420,22.175999999999988,34.8434688
52,2023-09-09,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,10,10,2,0.0788,2023,9,9,9.212,18.424,20,-1.5760000000000005,1.4518111999999999
53,2022-01-31,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,70,90,1,0.0985,2022,1,31,81.13499999999999,81.13499999999999,70,11.134999999999991,7.9917975
54,2023-07-30,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,20,20,7,0.0591,2023,7,30,18.817999999999998,131.726,140,-8.274000000000001,7.7850066
55,2023-10-17,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,850,1030,5,0.0788,2023,10,17,948.836,4744.18,4250,494.1800000000003,373.841384
56,2023-07-06,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,200,210,6,0.0985,2023,7,6,189.315,1135.8899999999999,1200,-64.11000000000013,111.88516499999999
57,2023-09-15,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,30,30,5,0.0985,2023,9,15,27.044999999999998,135.225,150,-14.775000000000006,13.3196625
58,2022-08-09,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,290,320,5,0.0394,2022,8,9,307.392,1536.96,1450,86.96000000000004,60.556224
59,2022-04-05,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,10,10,2,0.0788,2022,4,5,9.212,18.424,20,-1.5760000000000005,1.4518111999999999
60,2023-06-24,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,20,30,2,0.0985,2023,6,24,27.044999999999998,54.089999999999996,40,14.089999999999996,5.327865
61,2022-03-10,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,40,50,4,0.0394,2022,3,10,48.03,192.12,160,32.120000000000005,7.569528
62,2023-04-08,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,0,0,1,0.0985,2023,4,8,0.0,0.0,0,0.0,0.0
63,2023-10-16,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,10,10,2,0.0591,2023,10,16,9.408999999999999,18.817999999999998,20,-1.1820000000000022,1.1121438
64,2023-08-02,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,20,30,6,0.0394,2023,8,2,28.818,172.90800000000002,120,52.908000000000015,6.8125752
65,2022-11-05,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,130,150,3,0.0985,2022,11,5,135.225,405.67499999999995,390,15.674999999999955,39.9589875
66,2022-05-06,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,70,80,4,0.0394,2022,5,6,76.848,307.392,280,27.391999999999996,12.1112448
67,2022-03-26,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,180,210,5,0.0985,2022,3,26,189.315,946.575,900,46.575000000000045,93.2376375
68,2022-04-10,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,940,1110,8,0.0591,2022,4,10,1044.399,8355.192,7520,835.1919999999991,493.79184719999995
69,2022-08-12,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,160,170,4,0.0591,2022,8,12,159.953,639.812,640,-0.18799999999998818,37.8128892
70,2022-02-25,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,70,80,2,0.0394,2022,2,25,76.848,153.696,140,13.695999999999998,6.0556224
71,2022-11-29,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,0,0,1,0.0591,2022,11,29,0.0,0.0,0,0.0,0.0
72,2022-12-18,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,20,20,3,0.0591,2022,12,18,18.817999999999998,56.45399999999999,60,-3.5460000000000065,3.3364313999999995
73,2023-03-07,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,790,830,8,0.0394,2023,3,7,797.298,6378.384,6320,58.384000000000015,251.30832959999998
74,2023-07-12,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,90,100,2,0.0591,2023,7,12,94.08999999999999,188.17999999999998,180,8.179999999999978,11.121438
75,2022-10-21,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,60,70,1,0.0394,2022,10,21,67.242,67.242,60,7.242000000000004,2.6493348
76,2023-04-17,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,0,0,3,0.0788,2023,4,17,0.0,0.0,0,0.0,0.0
77,2023-05-20,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,10,10,3,0.0788,2023,5,20,9.212,27.636,30,-2.3640000000000008,2.1777168
78,2023-05-13,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,20,30,3,0.0394,2023,5,13,28.818,86.45400000000001,60,26.454000000000008,3.4062876
79,2022-10-20,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,20,20,5,0.0394,2022,10,20,19.212,96.06,100,-3.9399999999999977,3.784764
80,2023-10-22,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,190,210,1,0.0591,2023,10,22,197.589,197.589,190,7.588999999999999,11.6775099
81,2022-07-20,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,20,20,3,0.0394,2022,7,20,19.212,57.635999999999996,60,-2.3640000000000043,2.2708584
82,2022-11-16,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,10,10,5,0.0985,2022,11,16,9.015,45.075,50,-4.924999999999997,4.4398875
83,2022-11-10,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,20,20,1,0.0788,2022,11,10,18.424,18.424,20,-1.5760000000000005,1.4518111999999999
84,2022-03-15,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,180,200,7,0.0591,2022,3,15,188.17999999999998,1317.2599999999998,1260,57.25999999999976,77.85006599999998
85,2023-10-03,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,210,230,3,0.0394,2023,10,3,220.938,662.814,630,32.813999999999965,26.114871599999997
86,2022-03-20,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,260,300,2,0.0985,2022,3,20,270.45,540.9,520,20.899999999999977,53.27865
87,2023-12-04,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,20,20,1,0.0985,2023,12,4,18.03,18.03,20,-1.9699999999999989,1.7759550000000002
88,2023-11-24,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,10,10,2,0.0985,2023,11,24,9.015,18.03,20,-1.9699999999999989,1.7759550000000002
89,2023-12-30,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,140,160,7,0.0985,2023,12,30,144.24,1009.6800000000001,980,29.680000000000064,99.45348000000001
90,2022-05-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,20,20,3,0.0394,2022,5,23,19.212,57.635999999999996,60,-2.3640000000000043,2.2708584
91,2023-04-06,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,60,70,2,0.0394,2023,4,6,67.242,134.484,120,14.484000000000009,5.2986696
92,2022-03-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,10,10,1,0.0394,2022,3,23,9.606,9.606,10,-0.39400000000000013,0.3784764
93,2023-04-07,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,10,10,2,0.0394,2023,4,7,9.606,19.212,20,-0.7880000000000003,0.7569528
94,2022-05-13,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,50,50,3,0.0985,2022,5,13,45.074999999999996,135.225,150,-14.775000000000006,13.3196625
95,2022-04-23,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,20,30,2,0.0591,2022,4,23,28.227,56.454,40,16.454,3.3364314
96,2023-12-17,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,10,10,1,0.0394,2023,12,17,9.606,9.606,10,-0.39400000000000013,0.3784764
97,2022-04-28,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,80,100,7,0.0985,2022,4,28,90.14999999999999,631.05,560,71.04999999999995,62.158425
98,2023-06-14,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,40,50,3,0.0788,2023,6,14,46.06,138.18,120,18.180000000000007,10.888584
99,2023-02-05,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,70,80,6,0.0591,2023,2,5,75.27199999999999,451.63199999999995,420,31.631999999999948,26.691451199999996
100,2023-12-30,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,60,60,7,0.0591,2023,12,30,56.454,395.178,420,-24.822000000000003,23.3550198
101,2022-02-24,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,80,100,3,0.0985,2022,2,24,90.14999999999999,270.45,240,30.44999999999999,26.639325
102,2022-07-25,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,0,0,3,0.0591,2022,7,25,0.0,0.0,0,0.0,0.0
103,2022-01-14,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,20,20,4,0.0788,2022,1,14,18.424,73.696,80,-6.304000000000002,5.807244799999999
104,2022-12-22,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,220,240,6,0.0591,2022,12,22,225.816,1354.896,1320,34.89599999999996,80.0743536
105,2022-06-09,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,90,100,3,0.0985,2022,6,9,90.14999999999999,270.45,270,0.44999999999998863,26.639325
106,2023-10-28,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,30,40,3,0.0985,2023,10,28,36.06,108.18,90,18.180000000000007,10.655730000000002
107,2022-10-18,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,60,70,8,0.0985,2022,10,18,63.105,504.84,480,24.839999999999975,49.72674
108,2022-11-23,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,30,30,1,0.0591,2022,11,23,28.227,28.227,30,-1.7729999999999997,1.6682157
109,2023-10-12,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,0,0,1,0.0591,2023,10,12,0.0,0.0,0,0.0,0.0
110,2023-03-17,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,290,340,5,0.0394,2023,3,17,326.604,1633.02,1450,183.01999999999998,64.340988
111,2023-09-05,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,30,40,2,0.0394,2023,9,5,38.424,76.848,60,16.848,3.0278112
112,2022-01-28,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,70,80,2,0.0591,2022,1,28,75.27199999999999,150.54399999999998,140,10.543999999999983,8.8971504
113,2022-12-26,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,30,30,6,0.0591,2022,12,26,28.227,169.362,180,-10.638000000000005,10.0092942
114,2023-06-06,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,40,40,14,0.0394,2023,6,6,38.424,537.936,560,-22.063999999999965,21.1946784
115,2023-11-08,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,0,0,2,0.0788,2023,11,8,0.0,0.0,0,0.0,0.0
116,2022-11-15,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,20,20,3,0.0788,2022,11,15,18.424,55.272,60,-4.7280000000000015,4.3554336
117,2022-06-30,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,120,130,6,0.0985,2022,6,30,117.195,703.17,720,-16.83000000000004,69.262245
118,2023-10-27,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,720,790,3,0.0788,2023,10,27,727.748,2183.244,2160,23.244000000000142,172.0396272
119,2023-07-19,Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,140,160,1,0.0985,2023,7,19,144.24,144.24,140,4.240000000000009,14.207640000000001
120,2023-03-30,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,50,50,3,0.0591,2023,3,30,47.044999999999995,141.135,150,-8.865000000000009,8.3410785
121,2022-03-03,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,20,30,4,0.0394,2022,3,3,28.818,115.272,80,35.272000000000006,4.5417168
122,2022-10-20,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,190,230,6,0.0394,2022,10,20,220.938,1325.628,1140,185.62799999999993,52.229743199999994
123,2023-01-23,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,110,120,9,0.0788,2023,1,23,110.544,994.896,990,4.895999999999958,78.39780479999999
124,2023-01-21,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,60,70,7,0.0394,2023,1,21,67.242,470.694,420,50.69400000000002,18.5453436
125,2023-07-18,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,550,600,3,0.0591,2023,7,18,564.54,1693.62,1650,43.61999999999989,100.092942
126,2023-07-15,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,540,620,6,0.0788,2023,7,15,571.144,3426.864,3240,186.86400000000003,270.0368832
127,2022-07-14,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003274,0,0,2,0.0788,2022,7,14,0.0,0.0,0,0.0,0.0
128,2023-03-30,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,200,240,7,0.0788,2023,3,30,221.088,1547.616,1400,147.61599999999999,121.9521408
129,2023-09-18,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,70,80,2,0.0394,2023,9,18,76.848,153.696,140,13.695999999999998,6.0556224
130,2022-01-03,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,220,240,3,0.0788,2022,1,3,221.088,663.264,660,3.26400000000001,52.265203199999995
131,2022-07-17,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,50,60,5,0.0591,2022,7,17,56.454,282.27,250,32.26999999999998,16.682157
132,2022-03-30,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,80,80,2,0.0788,2022,3,30,73.696,147.392,160,-12.608000000000004,11.614489599999999
133,2022-05-01,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,20,20,9,0.0985,2022,5,1,18.03,162.27,180,-17.72999999999999,15.983595000000001
134,2023-04-29,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,20,20,3,0.0788,2023,4,29,18.424,55.272,60,-4.7280000000000015,4.3554336
135,2022-10-28,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,30,40,1,0.0985,2022,10,28,36.06,36.06,30,6.060000000000002,3.5519100000000003
136,2022-03-05,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,10,10,4,0.0985,2022,3,5,9.015,36.06,40,-3.9399999999999977,3.5519100000000003
137,2022-03-28,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,OFF-FA-10002988,0,0,2,0.0985,2022,3,28,0.0,0.0,0,0.0,0.0
138,2023-10-16,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,70,80,3,0.0394,2023,10,16,76.848,230.54399999999998,210,20.543999999999983,9.0834336
